text,label
film ini sangat bagus dan menyenangkan,positif
saya puas dengan pelayanan hari ini,positif
produk ini berkualitas dan sesuai harga,positif
pengiriman cepat dan kemasan rapi,positif
saya merekomendasikan toko ini,positif
filmnya keren dan aktingnya bagus,positif
pengalaman belanja yang menyenangkan,positif
layanan ramah dan respons cepat,positif
saya kecewa dengan kualitas produk ini,negatif
pelayanannya sangat lambat dan tidak ramah,negatif
produk rusak saat diterima,negatif
film ini membosankan dan terlalu lama,negatif
tidak sesuai dengan deskripsi di iklan,negatif
saya tidak akan membeli di sini lagi,negatif
pengiriman terlambat tanpa konfirmasi,negatif
kualitas buruk dan tidak layak pakai,negatif
